"Source:","/home/greg/projects/GlassUnicorn/hardware/cube-controller/cube-controller.py"
"Date:","10/16/2019 11:00 PM"
"Tool:","SKiDL (0.0.27)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","83"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","F0","F1","F2","F3","Manf","PN","datasheet","description","keywords"
"","","C1","10uF","C","Capacitor_SMD:C_0603_1608Metric","","C","C","","","Murata Electronics","GRM188R61C106MAALD","~","Unpolarized capacitor","cap capacitor"
"","","C2","10uF","C","Capacitor_SMD:C_0603_1608Metric","","C","C","","","Murata Electronics","GRM188R61C106MAALD","~","Unpolarized capacitor","cap capacitor"
"","","C3","100nF","C","Capacitor_SMD:C_0402_1005Metric","","C","C","","","Samsung Electro-Mechanics","CL05B104KP5NNNC","~","Unpolarized capacitor","cap capacitor"
"","","C4","10uF","C","Capacitor_SMD:C_0603_1608Metric","","C","C","","","Murata Electronics","GRM188R61C106MAALD","~","Unpolarized capacitor","cap capacitor"
"","","C5","10uF","C","Capacitor_SMD:C_0603_1608Metric","","C","C","","","Murata Electronics","GRM188R61C106MAALD","~","Unpolarized capacitor","cap capacitor"
"","","C6","1uF","C","Capacitor_SMD:C_0402_1005Metric","","C","C","","","Samsung Electro-Mechanics","CL05A105MQ5NNNC","~","Unpolarized capacitor","cap capacitor"
"","","C7","1uF","C","Capacitor_SMD:C_0402_1005Metric","","C","C","","","Samsung Electro-Mechanics","CL05A105MQ5NNNC","~","Unpolarized capacitor","cap capacitor"
"","","C8","1uF","C","Capacitor_SMD:C_0402_1005Metric","","C","C","","","Samsung Electro-Mechanics","CL05A105MQ5NNNC","~","Unpolarized capacitor","cap capacitor"
"","","C9","CP1","CP1","Capacitor_SMD:CP_Elec_5x3.9","","C","CP1","","","Nichicon","UWX1C101MCL1GB","~","Polarized capacitor, US symbol","cap capacitor"
"","","C10","CP1","CP1","Capacitor_SMD:CP_Elec_5x3.9","","C","CP1","","","Nichicon","UWX1C101MCL1GB","~","Polarized capacitor, US symbol","cap capacitor"
"","","C11","CP1","CP1","Capacitor_SMD:CP_Elec_5x3.9","","C","CP1","","","Nichicon","UWX1C101MCL1GB","~","Polarized capacitor, US symbol","cap capacitor"
"","","C12","100nF","C","Capacitor_SMD:C_0402_1005Metric","","C","C","","","Samsung Electro-Mechanics","CL05B104KP5NNNC","~","Unpolarized capacitor","cap capacitor"
"","","C13","100nF","C","Capacitor_SMD:C_0402_1005Metric","","C","C","","","Samsung Electro-Mechanics","CL05B104KP5NNNC","~","Unpolarized capacitor","cap capacitor"
"","","C14","100nF","C","Capacitor_SMD:C_0402_1005Metric","","C","C","","","Samsung Electro-Mechanics","CL05B104KP5NNNC","~","Unpolarized capacitor","cap capacitor"
